compatible_string,hardware_model,driver_file,first_version,subsystem
"snps,spear-ahci",spear-ahci,drivers/ata/ahci_dwc.c,n/a,ata
"st,ahci",ahci,drivers/ata/ahci_st.c,n/a,ata
"ti,da850-ahci",da850-ahci,drivers/ata/ahci_da850.c,n/a,ata
"ti,dm816-ahci",dm816-ahci,drivers/ata/ahci_dm816.c,n/a,ata
"adafruit,3108",DISP_QUAD_7SEG,drivers/auxdisplay/ht16k33.c,n/a,auxdisplay
"adafruit,3130",DISP_QUAD_14SEG,drivers/auxdisplay/ht16k33.c,n/a,auxdisplay
"arm,versatile-lcd",versatile-lcd,drivers/auxdisplay/arm-charlcd.c,n/a,auxdisplay
gpio-7-segment,gpio-7-segment,drivers/auxdisplay/seg-led-gpio.c,n/a,auxdisplay
"hit,hd44780",hd44780,drivers/auxdisplay/hd44780.c,n/a,auxdisplay
"holtek,ht16k33",DISP_MATRIX,drivers/auxdisplay/ht16k33.c,n/a,auxdisplay
"img,boston-lcd",boston_config,drivers/auxdisplay/img-ascii-lcd.c,n/a,auxdisplay
"maxim,max6959",max6959,drivers/auxdisplay/max6959.c,n/a,auxdisplay
"modtronix,lcd2s",lcd2s,drivers/auxdisplay/lcd2s.c,n/a,auxdisplay
"mti,malta-lcd",malta_config,drivers/auxdisplay/img-ascii-lcd.c,n/a,auxdisplay
"mti,sead3-lcd",sead3_config,drivers/auxdisplay/img-ascii-lcd.c,n/a,auxdisplay
"brcm,bus-axi",bus-axi,drivers/bcma/host_soc.c,n/a,bcma
ohare-swim3,ohare-swim3,drivers/block/swim3.c,n/a,block
swim3,swim3,drivers/block/swim3.c,n/a,block
"amlogic,w155s2-bt",data_w155s2,drivers/bluetooth/hci_aml.c,n/a,bluetooth
"amlogic,w265s2-bt",data_w265s2,drivers/bluetooth/hci_aml.c,n/a,bluetooth
"brcm,bcm20702a1",bcm20702a1,drivers/bluetooth/hci_bcm.c,n/a,bluetooth
"brcm,bcm4329-bt",bcm4329-bt,drivers/bluetooth/hci_bcm.c,n/a,bluetooth
"brcm,bcm4330-bt",bcm4330-bt,drivers/bluetooth/hci_bcm.c,n/a,bluetooth
"brcm,bcm4334-bt",bcm4334-bt,drivers/bluetooth/hci_bcm.c,n/a,bluetooth
"brcm,bcm4335a0",bcm4335a0,drivers/bluetooth/hci_bcm.c,n/a,bluetooth
"brcm,bcm43430a0-bt",bcm43430a0-bt,drivers/bluetooth/hci_bcm.c,n/a,bluetooth
"brcm,bcm43430a1-bt",bcm43430a1-bt,drivers/bluetooth/hci_bcm.c,n/a,bluetooth
"brcm,bcm43438-bt",bcm43438_device_data,drivers/bluetooth/hci_bcm.c,n/a,bluetooth
"brcm,bcm4345c5",bcm4345c5,drivers/bluetooth/hci_bcm.c,n/a,bluetooth
"brcm,bcm4349-bt",bcm43438_device_data,drivers/bluetooth/hci_bcm.c,n/a,bluetooth
"brcm,bcm43540-bt",bcm4354_device_data,drivers/bluetooth/hci_bcm.c,n/a,bluetooth
"cypress,cyw4373a0-bt",cyw4373a0_device_data,drivers/bluetooth/hci_bcm.c,n/a,bluetooth
"infineon,cyw55572-bt",cyw55572_device_data,drivers/bluetooth/hci_bcm.c,n/a,bluetooth
"mediatek,mt7622-bluetooth",mt7622_data,drivers/bluetooth/btmtkuart.c,n/a,bluetooth
"mediatek,mt7663u-bluetooth",mt7663_data,drivers/bluetooth/btmtkuart.c,n/a,bluetooth
"mediatek,mt7668u-bluetooth",mt7668_data,drivers/bluetooth/btmtkuart.c,n/a,bluetooth
"nokia,h4p-bluetooth",h4p-bluetooth,drivers/bluetooth/hci_nokia.c,n/a,bluetooth
"qcom,qca2066-bt",qca_soc_data_qca2066,drivers/bluetooth/hci_qca.c,n/a,bluetooth
"qcom,qca6174-bt",qca6174-bt,drivers/bluetooth/hci_qca.c,n/a,bluetooth
"qcom,qca6390-bt",qca_soc_data_qca6390,drivers/bluetooth/hci_qca.c,n/a,bluetooth
"qcom,qca9377-bt",qca9377-bt,drivers/bluetooth/hci_qca.c,n/a,bluetooth
"qcom,wcn3950-bt",qca_soc_data_wcn3950,drivers/bluetooth/hci_qca.c,n/a,bluetooth
"qcom,wcn3988-bt",qca_soc_data_wcn3988,drivers/bluetooth/hci_qca.c,n/a,bluetooth
"qcom,wcn3990-bt",qca_soc_data_wcn3990,drivers/bluetooth/hci_qca.c,n/a,bluetooth
"qcom,wcn3991-bt",qca_soc_data_wcn3991,drivers/bluetooth/hci_qca.c,n/a,bluetooth
"qcom,wcn3998-bt",qca_soc_data_wcn3998,drivers/bluetooth/hci_qca.c,n/a,bluetooth
"qcom,wcn6750-bt",qca_soc_data_wcn6750,drivers/bluetooth/hci_qca.c,n/a,bluetooth
"qcom,wcn6855-bt",qca_soc_data_wcn6855,drivers/bluetooth/hci_qca.c,n/a,bluetooth
"qcom,wcn7850-bt",qca_soc_data_wcn7850,drivers/bluetooth/hci_qca.c,n/a,bluetooth
