compatible_string,hardware_model,driver_file,first_version,subsystem
"fsl,p2020-l2-cache-controller",p2020-l2-cache-controller,drivers/edac/mpc85xx_edac.c,n/a,edac
"fsl,p2020-memory-controller",p2020-memory-controller,drivers/edac/mpc85xx_edac.c,n/a,edac
"fsl,qoriq-memory-controller",qoriq-memory-controller,drivers/edac/mpc85xx_edac.c,n/a,edac
"fsl,t2080-l2-cache-controller",t2080-l2-cache-controller,drivers/edac/mpc85xx_edac.c,n/a,edac
"marvell,armada-xp-sdram-controller",armada-xp-sdram-controller,drivers/edac/armada_xp_edac.c,n/a,edac
"marvell,aurora-system-cache",aurora-system-cache,drivers/edac/armada_xp_edac.c,n/a,edac
"nuvoton,npcm750-memory-controller",npcm750_edac,drivers/edac/npcm_edac.c,n/a,edac
"nuvoton,npcm845-memory-controller",npcm845_edac,drivers/edac/npcm_edac.c,n/a,edac
"nxp,imx9-memory-controller",TYPE_IMX9,drivers/edac/layerscape_edac.c,n/a,edac
"snps,ddrc-3.80a",synopsys_edac_def,drivers/edac/synopsys_edac.c,n/a,edac
"ti,emif-dra7xx",EMIF_TYPE_DRA7,drivers/edac/ti_edac.c,n/a,edac
"ti,emif-keystone",EMIF_TYPE_K2,drivers/edac/ti_edac.c,n/a,edac
"xlnx,versal-ddrmc",versal-ddrmc,drivers/edac/versal_edac.c,n/a,edac
"xlnx,versal-net-ddrmc5",versal-net-ddrmc5,drivers/edac/versalnet_edac.c,n/a,edac
"xlnx,zynq-ddrc-a05",zynq_edac_def,drivers/edac/synopsys_edac.c,n/a,edac
"xlnx,zynqmp-ddrc-2.40a",zynqmp_edac_def,drivers/edac/synopsys_edac.c,n/a,edac
"xlnx,zynqmp-ocmc-1.0",zynqmp-ocmc-1.0,drivers/edac/zynqmp_edac.c,n/a,edac
"fcs,fsa880",fsa880,drivers/extcon/extcon-fsa9480.c,n/a,extcon
"fcs,fsa9480",fsa9480,drivers/extcon/extcon-fsa9480.c,n/a,extcon
"google,extcon-usbc-cros-ec",extcon-usbc-cros-ec,drivers/extcon/extcon-usbc-cros-ec.c,n/a,extcon
"linux,extcon-usb-gpio",extcon-usb-gpio,drivers/extcon/extcon-usb-gpio.c,n/a,extcon
"maxim,max14526",max14526,drivers/extcon/extcon-max14526.c,n/a,extcon
"maxim,max14577-muic",MAXIM_DEVICE_TYPE_MAX14577,drivers/extcon/extcon-max14577.c,n/a,extcon
"maxim,max3355",max3355,drivers/extcon/extcon-max3355.c,n/a,extcon
"maxim,max77693-muic",max77693-muic,drivers/extcon/extcon-max77693.c,n/a,extcon
"maxim,max77836-muic",MAXIM_DEVICE_TYPE_MAX77836,drivers/extcon/extcon-max14577.c,n/a,extcon
"maxim,max77843-muic",max77843-muic,drivers/extcon/extcon-max77843.c,n/a,extcon
"nxp,ptn5150",ptn5150,drivers/extcon/extcon-ptn5150.c,n/a,extcon
"qcom,pm8941-misc",pm8941-misc,drivers/extcon/extcon-qcom-spmi-misc.c,n/a,extcon
"realtek,rtd1295-type-c",rtd1295_type_c_cfg,drivers/extcon/extcon-rtk-type-c.c,n/a,extcon
"realtek,rtd1312c-type-c",rtd1312c_type_c_cfg,drivers/extcon/extcon-rtk-type-c.c,n/a,extcon
"realtek,rtd1315e-type-c",rtd1315e_type_c_cfg,drivers/extcon/extcon-rtk-type-c.c,n/a,extcon
"realtek,rtd1319-type-c",rtd1319_type_c_cfg,drivers/extcon/extcon-rtk-type-c.c,n/a,extcon
"realtek,rtd1319d-type-c",rtd1319d_type_c_cfg,drivers/extcon/extcon-rtk-type-c.c,n/a,extcon
"realtek,rtd1395-type-c",rtd1395_type_c_cfg,drivers/extcon/extcon-rtk-type-c.c,n/a,extcon
"realtek,rtd1619-type-c",rtd1619_type_c_cfg,drivers/extcon/extcon-rtk-type-c.c,n/a,extcon
"realtek,rtd1619b-type-c",rtd1619b_type_c_cfg,drivers/extcon/extcon-rtk-type-c.c,n/a,extcon
"richtek,rt8973a-muic",rt8973a-muic,drivers/extcon/extcon-rt8973a.c,n/a,extcon
"siliconmitus,sm5502-muic",sm5502_data,drivers/extcon/extcon-sm5502.c,n/a,extcon
"siliconmitus,sm5504-muic",sm5504_data,drivers/extcon/extcon-sm5502.c,n/a,extcon
"siliconmitus,sm5703-muic",sm5502_data,drivers/extcon/extcon-sm5502.c,n/a,extcon
"ti,palmas-usb",palmas-usb,drivers/extcon/extcon-palmas.c,n/a,extcon
"ti,palmas-usb-vid",palmas-usb-vid,drivers/extcon/extcon-palmas.c,n/a,extcon
"ti,tsu6111",tsu6111,drivers/extcon/extcon-fsa9480.c,n/a,extcon
"ti,tusb320",tusb320_ops,drivers/extcon/extcon-usbc-tusb320.c,n/a,extcon
"ti,tusb320l",tusb320l_ops,drivers/extcon/extcon-usbc-tusb320.c,n/a,extcon
"ti,twl6035-usb",twl6035-usb,drivers/extcon/extcon-palmas.c,n/a,extcon
"ti,twl6035-usb-vid",twl6035-usb-vid,drivers/extcon/extcon-palmas.c,n/a,extcon
"amlogic,meson-gxbb-sm",gxbb_chip,drivers/firmware/meson/meson_sm.c,n/a,firmware
"arm,scmi",scmi,drivers/firmware/arm_scmi/transports/mailbox.c,n/a,firmware
"arm,scmi-smc",scmi-smc,drivers/firmware/arm_scmi/transports/smc.c,n/a,firmware
"arm,scmi-smc-param",scmi-smc-param,drivers/firmware/arm_scmi/transports/smc.c,n/a,firmware
"arm,scmi-virtio",scmi-virtio,drivers/firmware/arm_scmi/transports/virtio.c,n/a,firmware
"arm,scpi",scpi,drivers/firmware/arm_scpi.c,n/a,firmware
"arm,scpi-pre-1.0",1UL,drivers/firmware/arm_scpi.c,n/a,firmware
"arm,sdei-1.0",sdei-1.0,drivers/firmware/arm_sdei.c,n/a,firmware
coreboot,coreboot,drivers/firmware/google/coreboot_table.c,n/a,firmware
"cznic,turris-mox-rwtm",turris-mox-rwtm,drivers/firmware/turris-mox-rwtm.c,n/a,firmware
"fsl,imx-scu",imx-scu,drivers/firmware/imx/imx-scu.c,n/a,firmware
"google,gs101-acpm-ipc",acpm_gs101,drivers/firmware/samsung/exynos-acpm.c,n/a,firmware
"intel,agilex-svc",agilex-svc,drivers/firmware/stratix10-svc.c,n/a,firmware
"intel,stratix10-svc",stratix10-svc,drivers/firmware/stratix10-svc.c,n/a,firmware
"linaro,scmi-optee",scmi-optee,drivers/firmware/arm_scmi/transports/optee.c,n/a,firmware
"marvell,armada-3700-rwtm-firmware",armada-3700-rwtm-firmware,drivers/firmware/turris-mox-rwtm.c,n/a,firmware
"nvidia,tegra186-bpmp",tegra186_soc,drivers/firmware/tegra/bpmp.c,n/a,firmware
"nvidia,tegra210-bpmp",tegra210_soc,drivers/firmware/tegra/bpmp.c,n/a,firmware
"qcom,scm",scm,drivers/firmware/qcom/qcom_scm.c,n/a,firmware
"qcom,scm-apq8064",scm-apq8064,drivers/firmware/qcom/qcom_scm.c,n/a,firmware
"qcom,scm-apq8084",scm-apq8084,drivers/firmware/qcom/qcom_scm.c,n/a,firmware
"qcom,scm-ipq4019",scm-ipq4019,drivers/firmware/qcom/qcom_scm.c,n/a,firmware
"qcom,scm-msm8953",scm-msm8953,drivers/firmware/qcom/qcom_scm.c,n/a,firmware
"qcom,scm-msm8974",scm-msm8974,drivers/firmware/qcom/qcom_scm.c,n/a,firmware
"qcom,scm-msm8996",scm-msm8996,drivers/firmware/qcom/qcom_scm.c,n/a,firmware
"qcom,scmi-smc",scmi-smc,drivers/firmware/arm_scmi/transports/smc.c,n/a,firmware
"qemu,fw-cfg-mmio",fw-cfg-mmio,drivers/firmware/qemu_fw_cfg.c,n/a,firmware
"raspberrypi,bcm2835-firmware",bcm2835-firmware,drivers/firmware/raspberrypi.c,n/a,firmware
"ti,am654-sci",ti_sci_pmmc_am654_desc,drivers/firmware/ti_sci.c,n/a,firmware
"ti,k2g-sci",ti_sci_pmmc_k2g_desc,drivers/firmware/ti_sci.c,n/a,firmware
"xlnx,versal-firmware",platform_fw_data_versal,drivers/firmware/xilinx/zynqmp.c,n/a,firmware
"xlnx,versal-net-firmware",platform_fw_data_versal_net,drivers/firmware/xilinx/zynqmp.c,n/a,firmware
"xlnx,zynqmp-firmware",platform_fw_data_zynqmp,drivers/firmware/xilinx/zynqmp.c,n/a,firmware
"altr,a10-pr-ip",a10-pr-ip,drivers/fpga/altera-pr-ip-core-plat.c,n/a,fpga
"altr,fpga-arria10-passive-serial",a10_data,drivers/fpga/altera-ps-spi.c,n/a,fpga
"altr,fpga-passive-serial",c5_data,drivers/fpga/altera-ps-spi.c,n/a,fpga
"altr,freeze-bridge-controller",freeze-bridge-controller,drivers/fpga/altera-freeze-bridge.c,n/a,fpga
"altr,socfpga-a10-fpga-mgr",socfpga-a10-fpga-mgr,drivers/fpga/socfpga-a10.c,n/a,fpga
"altr,socfpga-fpga-mgr",socfpga-fpga-mgr,drivers/fpga/socfpga.c,n/a,fpga
"altr,socfpga-fpga2hps-bridge",fpga2hps_data,drivers/fpga/altera-hps2fpga.c,n/a,fpga
"altr,socfpga-fpga2sdram-bridge",socfpga-fpga2sdram-bridge,drivers/fpga/altera-fpga2sdram.c,n/a,fpga
"altr,socfpga-hps2fpga-bridge",hps2fpga_data,drivers/fpga/altera-hps2fpga.c,n/a,fpga
"altr,socfpga-lwhps2fpga-bridge",lwhps2fpga_data,drivers/fpga/altera-hps2fpga.c,n/a,fpga
fpga-region,fpga-region,drivers/fpga/of-fpga-region.c,n/a,fpga
"intel,agilex-soc-fpga-mgr",agilex-soc-fpga-mgr,drivers/fpga/stratix10-soc.c,n/a,fpga
"intel,stratix10-soc-fpga-mgr",stratix10-soc-fpga-mgr,drivers/fpga/stratix10-soc.c,n/a,fpga
"lattice,ice40-fpga-mgr",ice40-fpga-mgr,drivers/fpga/ice40-spi.c,n/a,fpga
"lattice,machxo2-slave-spi",machxo2-slave-spi,drivers/fpga/machxo2-spi.c,n/a,fpga
"lattice,sysconfig-ecp5",ecp5_spi_max_speed_hz,drivers/fpga/lattice-sysconfig-spi.c,n/a,fpga
"microchip,mpf-spi-fpga-mgr",mpf-spi-fpga-mgr,drivers/fpga/microchip-spi.c,n/a,fpga
"xlnx,dfx-axi-shutdown-manager",shutdown_config,drivers/fpga/xilinx-pr-decoupler.c,n/a,fpga
"xlnx,dfx-axi-shutdown-manager-1.00",shutdown_config,drivers/fpga/xilinx-pr-decoupler.c,n/a,fpga
"xlnx,fpga-slave-serial",fpga-slave-serial,drivers/fpga/xilinx-spi.c,n/a,fpga
"xlnx,fpga-xc7a-selectmap",fpga-xc7a-selectmap,drivers/fpga/xilinx-selectmap.c,n/a,fpga
"xlnx,fpga-xc7k-selectmap",fpga-xc7k-selectmap,drivers/fpga/xilinx-selectmap.c,n/a,fpga
"xlnx,fpga-xc7s-selectmap",fpga-xc7s-selectmap,drivers/fpga/xilinx-selectmap.c,n/a,fpga
"xlnx,fpga-xc7v-selectmap",fpga-xc7v-selectmap,drivers/fpga/xilinx-selectmap.c,n/a,fpga
"xlnx,pr-decoupler",decoupler_config,drivers/fpga/xilinx-pr-decoupler.c,n/a,fpga
"xlnx,pr-decoupler-1.00",decoupler_config,drivers/fpga/xilinx-pr-decoupler.c,n/a,fpga
"xlnx,versal-fpga",versal-fpga,drivers/fpga/versal-fpga.c,n/a,fpga
"xlnx,zynq-devcfg-1.0",zynq-devcfg-1.0,drivers/fpga/zynq-fpga.c,n/a,fpga
"xlnx,zynqmp-pcap-fpga",zynqmp-pcap-fpga,drivers/fpga/zynqmp-fpga.c,n/a,fpga
"aspeed,ast2400-cf-fsi-master",ast2400-cf-fsi-master,drivers/fsi/fsi-master-ast-cf.c,n/a,fsi
"aspeed,ast2500-cf-fsi-master",ast2500-cf-fsi-master,drivers/fsi/fsi-master-ast-cf.c,n/a,fsi
"aspeed,ast2600-fsi-master",ast2600-fsi-master,drivers/fsi/fsi-master-aspeed.c,n/a,fsi
fsi-master-gpio,fsi-master-gpio,drivers/fsi/fsi-master-gpio.c,n/a,fsi
"ibm,fsi2pib",fsi2pib,drivers/fsi/fsi-scom.c,n/a,fsi
"ibm,i2cr-fsi-master",i2cr-fsi-master,drivers/fsi/fsi-master-i2cr.c,n/a,fsi
"ibm,i2cr-scom",i2cr-scom,drivers/fsi/i2cr-scom.c,n/a,fsi
"ibm,p10-occ",occ_p10,drivers/fsi/fsi-occ.c,n/a,fsi
"ibm,p9-occ",occ_p9,drivers/fsi/fsi-occ.c,n/a,fsi
"fastrax,uc430",uc430,drivers/gnss/sirf.c,n/a,gnss
"globaltop,pa6h",pa6h,drivers/gnss/mtk.c,n/a,gnss
"linx,r4",r4,drivers/gnss/sirf.c,n/a,gnss
"u-blox,neo-6m",neo-6m,drivers/gnss/ubx.c,n/a,gnss
"u-blox,neo-8",neo-8,drivers/gnss/ubx.c,n/a,gnss
"u-blox,neo-m8",neo-m8,drivers/gnss/ubx.c,n/a,gnss
"wi2wi,w2sg0004",w2sg0004,drivers/gnss/sirf.c,n/a,gnss
"wi2wi,w2sg0008i",w2sg0008i,drivers/gnss/sirf.c,n/a,gnss
"wi2wi,w2sg0084i",w2sg0084i,drivers/gnss/sirf.c,n/a,gnss
"flk,fgpib-4.0",fgpib-4.0,drivers/gpib/eastwood/fluke_gpib.c,n/a,gpib
"fmhess,fmh_gpib_core",fmh_gpib_core,drivers/gpib/fmh_gpib/fmh_gpib.c,n/a,gpib
"abilis,tb10x-gpio",tb10x-gpio,drivers/gpio/gpio-tb10x.c,n/a,gpio
"ad,gpio-adnp",gpio-adnp,drivers/gpio/gpio-adnp.c,n/a,gpio
"adi,ds4520-gpio",ds4520-gpio,drivers/gpio/gpio-ds4520.c,n/a,gpio
"airoha,en7523-gpio",en7523-gpio,drivers/gpio/gpio-en7523.c,n/a,gpio
"altr,a10sr-gpio",a10sr-gpio,drivers/gpio/gpio-altera-a10sr.c,n/a,gpio
"altr,pio-1.0",pio-1.0,drivers/gpio/gpio-altera.c,n/a,gpio
"apm,xgene-gpio",xgene-gpio,drivers/gpio/gpio-xgene.c,n/a,gpio
"apm,xgene-gpio-sb",xgene-gpio-sb,drivers/gpio/gpio-xgene-sb.c,n/a,gpio
"apm,xgene-gpio-v2",GPIO_REG_OFFSET_V2,drivers/gpio/gpio-dwapb.c,n/a,gpio
"apple,smc-gpio",smc-gpio,drivers/gpio/gpio-macsmc.c,n/a,gpio
"aspeed,ast2400-gpio",ast2400_config,drivers/gpio/gpio-aspeed.c,n/a,gpio
"aspeed,ast2400-sgpio",ast2400_sgpio_pdata,drivers/gpio/gpio-aspeed-sgpio.c,n/a,gpio
"aspeed,ast2500-gpio",ast2500_config,drivers/gpio/gpio-aspeed.c,n/a,gpio
"aspeed,ast2500-sgpio",ast2400_sgpio_pdata,drivers/gpio/gpio-aspeed-sgpio.c,n/a,gpio
"aspeed,ast2600-gpio",ast2600_config,drivers/gpio/gpio-aspeed.c,n/a,gpio
"aspeed,ast2600-sgpiom",ast2600_sgpiom_pdata,drivers/gpio/gpio-aspeed-sgpio.c,n/a,gpio
"aspeed,ast2700-gpio",ast2700_config,drivers/gpio/gpio-aspeed.c,n/a,gpio
"atmel,sama5d2-secumod",sama5d2-secumod,drivers/gpio/gpio-sama5d2-piobu.c,n/a,gpio
"blaize,blzp1600-gpio",blzp1600-gpio,drivers/gpio/gpio-blzp1600.c,n/a,gpio
"brcm,bcm6345-gpio",bcm6345-gpio,drivers/gpio/gpio-mmio.c,n/a,gpio
"brcm,brcmstb-gpio",brcmstb-gpio,drivers/gpio/gpio-brcmstb.c,n/a,gpio
"brcm,iproc-gpio-cca",iproc-gpio-cca,drivers/gpio/gpio-xgs-iproc.c,n/a,gpio
"cavium,octeon-3860-gpio",octeon-3860-gpio,drivers/gpio/gpio-octeon.c,n/a,gpio
"cdns,gpio-r1p02",gpio-r1p02,drivers/gpio/gpio-cadence.c,n/a,gpio
"cirrus,ep7209-gpio",ep7209-gpio,drivers/gpio/gpio-clps711x.c,n/a,gpio
"cirrus,ep7209-mctrl-gpio",clps711x_mctrl_gpio,drivers/gpio/gpio-syscon.c,n/a,gpio
"cirrus,ep9301-gpio",ep9301-gpio,drivers/gpio/gpio-ep93xx.c,n/a,gpio
"cortina,gemini-gpio",gemini-gpio,drivers/gpio/gpio-ftgpio010.c,n/a,gpio
"cznic,moxtet-gpio",moxtet-gpio,drivers/gpio/gpio-moxtet.c,n/a,gpio
"delta,tn48m-gpi",tn48m_gpi_config,drivers/gpio/gpio-tn48m.c,n/a,gpio
"delta,tn48m-gpo",tn48m_gpo_config,drivers/gpio/gpio-tn48m.c,n/a,gpio
"dlg,slg7xl45106",slg7xl45106_gpio,drivers/gpio/gpio-pca9570.c,n/a,gpio
"exar,xra1202",OF_953X,drivers/gpio/gpio-pca953x.c,n/a,gpio
"exar,xra1403",xra1403,drivers/gpio/gpio-xra1403.c,n/a,gpio
"fairchild,74hc595",74hc595,drivers/gpio/gpio-74x164.c,n/a,gpio
"faraday,ftgpio010",ftgpio010,drivers/gpio/gpio-ftgpio010.c,n/a,gpio
"fsl,imx1-gpio",imx1_imx21_gpio_hwdata,drivers/gpio/gpio-mxc.c,n/a,gpio
"fsl,imx21-gpio",imx1_imx21_gpio_hwdata,drivers/gpio/gpio-mxc.c,n/a,gpio
"fsl,imx23-gpio",IMX23_GPIO,drivers/gpio/gpio-mxs.c,n/a,gpio
"fsl,imx28-gpio",IMX28_GPIO,drivers/gpio/gpio-mxs.c,n/a,gpio
"fsl,imx31-gpio",imx31_gpio_hwdata,drivers/gpio/gpio-mxc.c,n/a,gpio
"fsl,imx35-gpio",imx35_gpio_hwdata,drivers/gpio/gpio-mxc.c,n/a,gpio
"fsl,imx7d-gpio",imx35_gpio_hwdata,drivers/gpio/gpio-mxc.c,n/a,gpio
"fsl,imx7ulp-gpio",imx_data,drivers/gpio/gpio-vf610.c,n/a,gpio
"fsl,imx8dxl-gpio",imx35_gpio_hwdata,drivers/gpio/gpio-mxc.c,n/a,gpio
"fsl,imx8qm-gpio",imx35_gpio_hwdata,drivers/gpio/gpio-mxc.c,n/a,gpio
"fsl,imx8qxp-gpio",imx35_gpio_hwdata,drivers/gpio/gpio-mxc.c,n/a,gpio
"fsl,imx8qxp-sc-gpio",imx8qxp-sc-gpio,drivers/gpio/gpio-imx-scu.c,n/a,gpio
"fsl,imx8ulp-gpio",imx8ulp_data,drivers/gpio/gpio-vf610.c,n/a,gpio
"fsl,ls1028a-gpio",ls1028a-gpio,drivers/gpio/gpio-mpc8xxx.c,n/a,gpio
"fsl,ls1046aqds-fpga-gpio-stat-pres2",ls1046aqds_stat_pres2_cfg,drivers/gpio/gpio-qixis-fpga.c,n/a,gpio
"fsl,ls1088a-gpio",ls1088a-gpio,drivers/gpio/gpio-mpc8xxx.c,n/a,gpio
"fsl,lx2160ardb-fpga-gpio-sfp",lx2160ardb_sfp_cfg,drivers/gpio/gpio-qixis-fpga.c,n/a,gpio
"fsl,mpc5121-gpio",mpc512x_gpio_devtype,drivers/gpio/gpio-mpc8xxx.c,n/a,gpio
"fsl,mpc5125-gpio",mpc5125_gpio_devtype,drivers/gpio/gpio-mpc8xxx.c,n/a,gpio
"fsl,mpc5200-gpio",mpc5200-gpio,drivers/gpio/gpio-mpc5200.c,n/a,gpio
"fsl,mpc5200-gpio-wkup",mpc5200-gpio-wkup,drivers/gpio/gpio-mpc5200.c,n/a,gpio
"fsl,mpc8314-gpio",mpc8314-gpio,drivers/gpio/gpio-mpc8xxx.c,n/a,gpio
"fsl,mpc8349-gpio",mpc8349-gpio,drivers/gpio/gpio-mpc8xxx.c,n/a,gpio
"fsl,mpc8572-gpio",mpc8572_gpio_devtype,drivers/gpio/gpio-mpc8xxx.c,n/a,gpio
"fsl,mpc8610-gpio",mpc8610-gpio,drivers/gpio/gpio-mpc8xxx.c,n/a,gpio
"fsl,pq3-gpio",pq3-gpio,drivers/gpio/gpio-mpc8xxx.c,n/a,gpio
"fsl,qoriq-gpio",qoriq-gpio,drivers/gpio/gpio-mpc8xxx.c,n/a,gpio
"fsl,vf610-gpio",vf610_data,drivers/gpio/gpio-vf610.c,n/a,gpio
"fujitsu,mb86s70-gpio",mb86s70-gpio,drivers/gpio/gpio-mb86s7x.c,n/a,gpio
"gateworks,pld-gpio",pld-gpio,drivers/gpio/gpio-gw-pld.c,n/a,gpio
"ge,imp3a-gpio",16,drivers/gpio/gpio-ge.c,n/a,gpio
"gef,sbc310-gpio",6,drivers/gpio/gpio-ge.c,n/a,gpio
"gef,sbc610-gpio",19,drivers/gpio/gpio-ge.c,n/a,gpio
gpio-delay,FWD_FEATURE_DELAY,drivers/gpio/gpio-aggregator.c,n/a,gpio
gpio-latch,gpio-latch,drivers/gpio/gpio-latch.c,n/a,gpio
gpio-mockup,gpio-mockup,drivers/gpio/gpio-mockup.c,n/a,gpio
gpio-simulator,gpio-simulator,drivers/gpio/gpio-sim.c,n/a,gpio
gpio-sloppy-logic-analyzer,gpio-sloppy-logic-analyzer,drivers/gpio/gpio-sloppy-logic-analyzer.c,n/a,gpio
gpio-virtuser,gpio-virtuser,drivers/gpio/gpio-virtuser.c,n/a,gpio
"hisilicon,ascend910-gpio",ascend910-gpio,drivers/gpio/gpio-hisi.c,n/a,gpio
"idt,32434-gpio",32434-gpio,drivers/gpio/gpio-idt3243x.c,n/a,gpio
"intel,ixp4xx-expansion-bus-mmio-gpio",ixp4xx-expansion-bus-mmio-gpio,drivers/gpio/gpio-mmio.c,n/a,gpio
"intel,ixp4xx-gpio",ixp4xx-gpio,drivers/gpio/gpio-ixp4xx.c,n/a,gpio
"intel,pxa25x-gpio",pxa25x_id,drivers/gpio/gpio-pxa.c,n/a,gpio
"intel,pxa26x-gpio",pxa26x_id,drivers/gpio/gpio-pxa.c,n/a,gpio
"intel,pxa27x-gpio",pxa27x_id,drivers/gpio/gpio-pxa.c,n/a,gpio
"intel,pxa3xx-gpio",pxa3xx_id,drivers/gpio/gpio-pxa.c,n/a,gpio
"kontron,sl28cpld-gpi",SL28CPLD_GPI,drivers/gpio/gpio-sl28cpld.c,n/a,gpio
"kontron,sl28cpld-gpio",SL28CPLD_GPIO,drivers/gpio/gpio-sl28cpld.c,n/a,gpio
"kontron,sl28cpld-gpo",SL28CPLD_GPO,drivers/gpio/gpio-sl28cpld.c,n/a,gpio
"lantiq,gpio-mm",gpio-mm,drivers/gpio/gpio-mm-lantiq.c,n/a,gpio
"lantiq,gpio-stp-xway",gpio-stp-xway,drivers/gpio/gpio-stp-xway.c,n/a,gpio
"loongson,ls1x-gpio",ls1x-gpio,drivers/gpio/gpio-loongson1.c,n/a,gpio
"loongson,ls2k-gpio",loongson_gpio_ls2k_data,drivers/gpio/gpio-loongson-64bit.c,n/a,gpio
"loongson,ls2k0300-gpio",loongson_gpio_ls2k0300_data,drivers/gpio/gpio-loongson-64bit.c,n/a,gpio
"loongson,ls2k0500-gpio0",loongson_gpio_ls2k0500_data0,drivers/gpio/gpio-loongson-64bit.c,n/a,gpio
"loongson,ls2k0500-gpio1",loongson_gpio_ls2k0500_data1,drivers/gpio/gpio-loongson-64bit.c,n/a,gpio
"loongson,ls2k2000-gpio0",loongson_gpio_ls2k2000_data0,drivers/gpio/gpio-loongson-64bit.c,n/a,gpio
"loongson,ls2k2000-gpio1",loongson_gpio_ls2k2000_data1,drivers/gpio/gpio-loongson-64bit.c,n/a,gpio
"loongson,ls2k2000-gpio2",loongson_gpio_ls2k2000_data2,drivers/gpio/gpio-loongson-64bit.c,n/a,gpio
"loongson,ls3a5000-gpio",loongson_gpio_ls3a5000_data,drivers/gpio/gpio-loongson-64bit.c,n/a,gpio
"loongson,ls3a6000-gpio",loongson_gpio_ls3a6000_data,drivers/gpio/gpio-loongson-64bit.c,n/a,gpio
"loongson,ls7a-gpio",loongson_gpio_ls7a_data,drivers/gpio/gpio-loongson-64bit.c,n/a,gpio
"loongson,ls7a2000-gpio1",loongson_gpio_ls7a2000_data0,drivers/gpio/gpio-loongson-64bit.c,n/a,gpio
"loongson,ls7a2000-gpio2",loongson_gpio_ls7a2000_data1,drivers/gpio/gpio-loongson-64bit.c,n/a,gpio
"lsi,zevio-gpio",zevio-gpio,drivers/gpio/gpio-zevio.c,n/a,gpio
"marvell,armada-370-gpio",MVEBU_GPIO_SOC_VARIANT_ORION,drivers/gpio/gpio-mvebu.c,n/a,gpio
"marvell,armada-8k-gpio",MVEBU_GPIO_SOC_VARIANT_A8K,drivers/gpio/gpio-mvebu.c,n/a,gpio
"marvell,armadaxp-gpio",MVEBU_GPIO_SOC_VARIANT_ARMADAXP,drivers/gpio/gpio-mvebu.c,n/a,gpio
"marvell,mmp-gpio",mmp_id,drivers/gpio/gpio-pxa.c,n/a,gpio
"marvell,mmp2-gpio",mmp2_id,drivers/gpio/gpio-pxa.c,n/a,gpio
"marvell,mv78200-gpio",MVEBU_GPIO_SOC_VARIANT_MV78200,drivers/gpio/gpio-mvebu.c,n/a,gpio
"marvell,orion-gpio",MVEBU_GPIO_SOC_VARIANT_ORION,drivers/gpio/gpio-mvebu.c,n/a,gpio
"marvell,pxa1928-gpio",pxa1928_id,drivers/gpio/gpio-pxa.c,n/a,gpio
"marvell,pxa93x-gpio",pxa93x_id,drivers/gpio/gpio-pxa.c,n/a,gpio
"maxim,max31910",max31910,drivers/gpio/gpio-max3191x.c,n/a,gpio
"maxim,max31911",max31911,drivers/gpio/gpio-max3191x.c,n/a,gpio
"maxim,max31912",max31912,drivers/gpio/gpio-max3191x.c,n/a,gpio
"maxim,max31913",max31913,drivers/gpio/gpio-max3191x.c,n/a,gpio
"maxim,max31953",max31953,drivers/gpio/gpio-max3191x.c,n/a,gpio
"maxim,max31963",max31963,drivers/gpio/gpio-max3191x.c,n/a,gpio
"maxim,max7310",OF_953X,drivers/gpio/gpio-pca953x.c,n/a,gpio
"maxim,max7312",OF_953X,drivers/gpio/gpio-pca953x.c,n/a,gpio
"maxim,max7313",OF_953X,drivers/gpio/gpio-pca953x.c,n/a,gpio
"maxim,max7315",OF_953X,drivers/gpio/gpio-pca953x.c,n/a,gpio
"maxim,max7318",OF_953X,drivers/gpio/gpio-pca953x.c,n/a,gpio
"maxim,max7319",max7319,drivers/gpio/gpio-max732x.c,n/a,gpio
"maxim,max7320",max7320,drivers/gpio/gpio-max732x.c,n/a,gpio
"maxim,max7321",max7321,drivers/gpio/gpio-max732x.c,n/a,gpio
"maxim,max7322",max7322,drivers/gpio/gpio-max732x.c,n/a,gpio
"maxim,max7323",max7323,drivers/gpio/gpio-max732x.c,n/a,gpio
"maxim,max7324",max7324,drivers/gpio/gpio-max732x.c,n/a,gpio
"maxim,max7325",max7325,drivers/gpio/gpio-max732x.c,n/a,gpio
"maxim,max7326",max7326,drivers/gpio/gpio-max732x.c,n/a,gpio
"maxim,max7327",max7327,drivers/gpio/gpio-max732x.c,n/a,gpio
"maxim,max7328",max7328,drivers/gpio/gpio-pcf857x.c,n/a,gpio
"maxim,max7329",max7329,drivers/gpio/gpio-pcf857x.c,n/a,gpio
"maxim,max7360-gpio",max7360_gpio_port_plat,drivers/gpio/gpio-max7360.c,n/a,gpio
"maxim,max7360-gpo",max7360_gpio_col_plat,drivers/gpio/gpio-max7360.c,n/a,gpio
"maxim,max77759-gpio",max77759-gpio,drivers/gpio/gpio-max77759.c,n/a,gpio
"mediatek,mt7621-gpio",mt7621-gpio,drivers/gpio/gpio-mt7621.c,n/a,gpio
"microchip,coregpio-rtl-v3",coregpio_reg_offsets,drivers/gpio/gpio-mpfs.c,n/a,gpio
"microchip,mpfs-gpio",mpfs_reg_offsets,drivers/gpio/gpio-mpfs.c,n/a,gpio
"mobileye,eyeq5-gpio",eyeq5-gpio,drivers/gpio/gpio-nomadik.c,n/a,gpio
